,順位,コード,市場,名称,平均年収（千円）,従業員数（単独）
0,1,6080,東証1部,Ｍ＆Ａキャピタルパートナーズ(株),31090,122
1,2,8771,東証1部,イー・ギャランティ(株),24130,144
2,3,3252,東証1部,日本商業開発(株),19210,43
3,4,6861,東証1部,(株)キーエンス,18390,2511
4,5,3003,東証1部,ヒューリック(株),17600,190
5,6,8058,東証1部,三菱商事(株),16310,5882
6,7,9401,東証1部,(株)ＴＢＳホールディングス,16220,110
7,8,8001,東証1部,伊藤忠商事(株),15650,4247
8,9,4597,マザーズ,ソレイジア・ファーマ(株),15600,19
9,10,9684,東証1部,(株)スクウェア・エニックス・ホールディングス,14870,20
10,11,8002,東証1部,丸紅(株),14520,4433
11,12,8053,東証1部,住友商事(株),14370,5207
12,13,9404,東証1部,日本テレビホールディングス(株),14010,201
13,14,8031,東証1部,三井物産(株),13930,5676
14,15,9984,東証1部,ソフトバンクグループ(株),13890,224
15,16,9409,東証1部,(株)テレビ朝日ホールディングス,13820,1256
16,17,7190,東証1部,(株)マーキュリアインベストメント,13730,45
17,18,6196,東証1部,(株)ストライク,13570,140
18,19,2127,東証1部,(株)日本Ｍ＆Ａセンター,13530,577
19,20,9413,東証1部,(株)テレビ東京ホールディングス,13240,123
20,21,6920,東証1部,レーザーテック(株),13100,288
21,22,4563,マザーズ,アンジェス(株),12750,33
22,23,8801,東証1部,三井不動産(株),12730,1678
23,24,8802,東証1部,三菱地所(株),12730,929
24,25,4282,東証1部,ＥＰＳホールディングス(株),12530,59
25,26,2502,東証1部,アサヒグループホールディングス(株),12500,155
26,27,7038,東証1部,フロンティア・マネジメント(株),12390,222
27,28,4307,東証1部,(株)野村総合研究所,12350,6549
28,29,9405,東証1部,朝日放送グループホールディングス(株),12290,65
29,30,9412,東証1部,(株)スカパーＪＳＡＴホールディングス,12290,27
30,31,6035,東証1部,(株)アイ・アールジャパンホールディングス,12250,7
31,32,6954,東証1部,ファナック(株),12160,4018
32,33,8309,東証1部,三井住友トラスト・ホールディングス(株),12010,176
33,34,5938,東証1部,(株)ＬＩＸＩＬ,11960,1
34,35,4565,マザーズ,そーせいグループ(株),11890,24
35,36,8944,東証1部,(株)ランドビジネス,11720,27
36,37,4324,東証1部,(株)電通グループ,11680,-
37,38,4188,東証1部,(株)三菱ケミカルホールディングス,11650,194
38,39,7327,東証1部,(株)第四北越フィナンシャルグループ,11650,6
39,40,4321,東証1部,ケネディクス(株),11600,70
40,41,7167,東証1部,(株)めぶきフィナンシャルグループ,11570,18
41,42,2768,東証1部,双日(株),11540,2608
42,43,6088,東証1部,(株)シグマクシス,11520,559
43,44,8035,東証1部,東京エレクトロン(株),11490,1673
44,45,4686,東証1部,(株)ジャストシステム,11450,333
45,46,3289,東証1部,東急不動産ホールディングス(株),11370,67
46,47,1812,東証1部,鹿島,11340,8100
47,48,5020,東証1部,ＥＮＥＯＳホールディングス(株),11290,104
48,49,4568,東証1部,第一三共(株),11260,-
49,50,7177,東証JQS,ＧＭＯフィナンシャルホールディングス(株),11220,146
50,順位,コード,市場,名称,平均年収（千円）,従業員数（単独）
